year,teamId,team,classification,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties,neutralSiteGames.games,neutralSiteGames.wins,neutralSiteGames.losses,neutralSiteGames.ties,regularSeason.games,regularSeason.wins,regularSeason.losses,regularSeason.ties,postseason.games,postseason.wins,postseason.losses,postseason.ties
2025,338,Kennesaw State,fbs,Conference USA,,8.711555786430836,14,10,4,0,8,7,1,0,6,6,0,0,7,4,3,0,1,0,1,0,13,10,3,0,1,0,1,0
2025,2248,Gettysburg,iii,Centennial,,,10,1,9,0,6,1,5,0,5,0,5,0,5,1,4,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,274,Maine Maritime,iii,Commonwealth Coast,,,10,0,10,0,0,0,0,0,4,0,4,0,5,0,5,0,1,0,1,0,10,0,10,0,0,0,0,0
2025,2714,Western Colorado,ii,Rocky Mountain,,,13,10,3,0,9,7,2,0,6,5,1,0,7,5,2,0,0,0,0,0,12,9,3,0,1,1,0,0
2025,2567,SMU,fbs,ACC,,8.990735094062984,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0,1,1,0,0,12,8,4,0,1,1,0,0
2025,3066,Concordia University St Paul,ii,Northern Sun,,,11,2,9,0,9,2,7,0,5,0,5,0,6,2,4,0,0,0,0,0,11,2,9,0,0,0,0,0
2025,2842,UVA Wise,ii,South Atlantic,,,10,1,9,0,9,1,8,0,5,1,4,0,5,0,5,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,2194,East Texas Baptist University,iii,American Southwest,,,10,4,6,0,6,0,6,0,5,2,3,0,5,2,3,0,0,0,0,0,10,4,6,0,0,0,0,0
2025,2559,Shippensburg,ii,Pennsylvania State Athletic,Eastern,,11,3,8,0,10,3,7,0,6,3,3,0,5,0,5,0,0,0,0,0,11,3,8,0,0,0,0,0
2025,128,Northern Michigan,ii,GLIAC,,0.18728531897068024,11,3,8,0,8,3,5,0,6,1,5,0,5,2,3,0,0,0,0,0,11,3,8,0,0,0,0,0
2025,2249,Glenville State,ii,Mountain East,,,11,6,5,0,8,5,3,0,5,2,3,0,6,4,2,0,0,0,0,0,11,6,5,0,0,0,0,0
2025,173,Hartwick,iii,Empire 8,,,10,4,6,0,7,2,5,0,5,3,2,0,5,1,4,0,0,0,0,0,10,4,6,0,0,0,0,0
2025,2207,Elizabeth City State,ii,CIAA,Northern,0.24372214078903198,10,4,6,0,8,4,4,0,5,2,3,0,5,2,3,0,0,0,0,0,10,4,6,0,0,0,0,0
2025,2229,Florida International,fbs,Conference USA,,6.796869790181518,13,7,6,0,8,5,3,0,6,4,2,0,5,2,3,0,2,1,1,0,12,7,5,0,1,0,1,0
2025,2698,West Georgia,fcs,UAC,,7.460296127945185,11,8,3,0,8,5,3,0,5,4,1,0,6,4,2,0,0,0,0,0,11,8,3,0,0,0,0,0
2025,379,UMass Dartmouth,iii,MSCAC,,,10,6,4,0,7,5,2,0,5,5,0,0,5,1,4,0,0,0,0,0,10,6,4,0,0,0,0,0
2025,2368,Marist,fcs,Pioneer,,4.682962654624134,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2128,University Of Charleston (WV),ii,Mountain East,,,11,8,3,0,8,7,1,0,5,4,1,0,6,4,2,0,0,0,0,0,11,8,3,0,0,0,0,0
2025,2086,Butler,fcs,Pioneer,,4.281845316290855,12,6,6,0,8,4,4,0,5,3,2,0,7,3,4,0,0,0,0,0,12,6,6,0,0,0,0,0
2025,2464,Northern Arizona,fcs,Big Sky,,5.397238930687308,12,7,5,0,8,4,4,0,6,4,2,0,6,3,3,0,0,0,0,0,12,7,5,0,0,0,0,0
2025,2678,VMI,fcs,Southern,,2.620765251107514,12,1,11,0,8,0,8,0,5,1,4,0,7,0,7,0,0,0,0,0,12,1,11,0,0,0,0,0
2025,2535,Samford,fcs,Southern,,0.7405768297612667,12,1,11,0,8,1,7,0,5,0,5,0,7,1,6,0,0,0,0,0,12,1,11,0,0,0,0,0
2025,127954,Eastern University,iii,Mid Atlantic,,,12,10,2,0,9,8,1,0,5,5,0,0,7,5,2,0,0,0,0,0,11,9,2,0,1,1,0,0
2025,2237,Fort Lewis,ii,Rocky Mountain,,,11,2,9,0,9,1,8,0,6,1,5,0,4,0,4,0,1,1,0,0,11,2,9,0,0,0,0,0
2025,2687,Washburn,ii,Mid America,,,11,3,8,0,9,2,7,0,6,2,4,0,5,1,4,0,0,0,0,0,11,3,8,0,0,0,0,0
2025,2509,Purdue,fbs,Big Ten,,3.56669588573277,12,2,10,0,9,0,9,0,7,2,5,0,5,0,5,0,0,0,0,0,12,2,10,0,0,0,0,0
2025,2653,Troy,fbs,Sun Belt,West,6.56121389567852,14,8,6,0,8,6,2,0,6,4,2,0,7,4,3,0,1,0,1,0,13,8,5,0,1,0,1,0
2025,2710,Western Illinois,fcs,Big South-OVC,,2.338866211473942,12,4,8,0,8,3,5,0,5,2,3,0,7,2,5,0,0,0,0,0,12,4,8,0,0,0,0,0
2025,2741,Wisconsin-Lutheran,iii,NACC,,,10,5,5,0,8,5,3,0,5,1,4,0,5,4,1,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,2046,Austin Peay,fcs,UAC,,8.031405549496412,12,7,5,0,8,4,4,0,6,6,0,0,6,1,5,0,0,0,0,0,12,7,5,0,0,0,0,0
2025,366,Ferrum,ii,Carolinas,,0.001994490623474121,11,4,7,0,0,0,0,0,5,3,2,0,6,1,5,0,0,0,0,0,11,4,7,0,0,0,0,0
2025,257,Richmond,fcs,Patriot,,7.4922631890513,12,7,5,0,1,1,0,0,5,3,2,0,7,4,3,0,0,0,0,0,12,7,5,0,0,0,0,0
2025,2569,South Carolina State,fcs,MEAC,,8.940442895516753,13,10,3,0,5,5,0,0,5,5,0,0,7,4,3,0,1,1,0,0,12,9,3,0,1,1,0,0
2025,21,San Diego State,fbs,Mountain West,,9.465852856636047,13,9,4,0,8,6,2,0,6,6,0,0,6,3,3,0,1,0,1,0,12,9,3,0,1,0,1,0
